energia_hidro,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,demanda,demanda_residual
148253.95570766457,89498.12267082525,10847.177165782276,14205.472175438588,114550.77201204612,0.0,0.0,262804.7277197107,148253.95570766457
141415.0551769354,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,259686.40768585046,141415.0551769354
167307.3831673678,90659.82803868594,11002.303434923519,14518.368923684202,116180.50039729365,840.0,442.0114523808728,284769.89501704235,168589.3946197487
202773.7240286062,90554.62452678141,10732.967364716962,14566.054130701754,115853.64602220013,2520.0,1688.2477325145412,322835.61778332083,206981.97176112072
175921.85794907738,85031.24772094279,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,286307.0950337339,175921.85794907738
158175.455581965,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,271219.28310519754,158175.455581965
209721.69278534525,84982.77061434375,10693.418996498953,14763.392324561397,110439.58193540409,916.2512787763721,0.0,321077.5259995257,210637.94406412158
134613.87154368343,85986.18983175584,10551.754537368377,15309.599851754383,111847.5442208786,4523.369069120988,1569.7898335487428,252554.57466723176,140707.03044635316
153344.17857213615,84086.47588357603,10205.677110637433,15594.137738596495,109886.29073280995,2010.211472924705,519.604620990871,265760.2853988617,155873.99466605173
136565.10713006853,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,0.0,0.0,249845.7440495834,136565.10713006853
29773.680116845462,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538007,68841.81545795765,32817.55218527482,245944.614595458,131433.04776007793
130465.80552030024,92209.90206906517,9278.029588771047,15795.58666754386,117283.51832538006,1059.1331338163952,0.0,248808.4569794967,131524.93865411665
136407.86185969686,92859.1884018825,9169.003791343186,18456.2665437649,120484.4587369906,0.0,0.0,256892.3205966874,136407.86185969686
43863.95409750414,95290.5873260382,8530.480186850396,33050.70162164341,136871.76913453202,45888.9112147883,6191.775300198995,232816.40974702348,95944.64061249145
13733.976738076008,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,73602.2303486326,18212.40934095575,246622.79107341048,105548.61642766435
95883.37284558211,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,13515.70471381643,3141.988400030803,249188.23580714918,112541.06595942932
103713.73765611908,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,13358.32197724051,3415.519270243661,251752.38877616858,120487.57890360325
117679.49805840297,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,8086.11313777468,1328.0061238073488,253509.18879524473,127093.617319985
116177.8807497163,98975.04493142635,6723.902763309068,25968.47947897232,131667.42717370772,10021.164501506559,1645.5470237312925,259512.0194486619,127844.59227495416
115931.81283781437,98037.6221467726,6354.580659707241,34253.7348904101,138645.93769688995,12145.41676660318,2935.6640222402493,269658.83132354775,131012.89362665782
63568.18820138805,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,51505.68679812022,28176.431592010093,281722.62204277696,143250.30659151837
127576.77079423601,98814.04396127017,5886.590321169121,34915.35802257658,139615.99230501588,10998.48535772517,3549.458291878415,281740.7067488555,142124.7144438396
115735.48647873806,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,17010.49929862885,4839.881112160917,276524.56080986426,137585.86688952782
125700.97004108343,98854.63909287954,5691.159953817383,35550.51846960261,140096.31751629955,10228.79021671983,2055.059523251773,278081.1372973546,137984.81978105503
93193.25173614612,104690.69883044781,5569.164730104099,36640.267961321035,146900.13152187294,34890.19359082036,15342.198228531917,290325.77507737133,143425.6435554984
171929.43405287524,104382.0148129037,5429.313546577172,36310.39745348857,146121.72581296944,8016.814570264321,3457.6928316204326,329525.6672677294,183403.94145475997
157050.13176561915,106816.05281652318,5738.184090648205,34600.92987232152,147155.16677949292,7768.418416776055,1849.2583706282148,313822.97533251636,166667.80855302344
150562.38210650688,105570.85574992996,5961.318488980014,35113.18863366362,146645.3628725736,9938.295660884749,2110.5464076727226,309256.58704763796,162611.22417506436
144267.549831636,108730.43283364398,5763.893484376083,34304.426268943746,148798.75258696382,8672.810573864881,465.73044919006674,302204.84344165475,153406.09085469093
151367.442534121,105710.5229317552,6405.6144499270995,34658.5686623392,146774.7060440215,9344.026445574145,2599.724974103239,310085.89999781986,163311.19395379836
148476.5759206637,106832.62021303737,6755.8492638160105,35019.157293632656,148607.62677048604,10162.962403713567,2612.676076972547,309859.84117183584,161252.2144013498
146261.75645867913,112963.317808136,6912.495966710932,34636.09143758985,154511.90521243677,10246.960847770035,2314.065749503856,313334.6882683898,158822.783055953
151660.769002907,111681.42711469864,6849.887804579319,34441.76708218248,152973.08200146045,12957.169521637075,5869.811381752253,323460.8319077568,170487.74990629635
92475.91376648443,107779.19993502216,7307.814717086225,32995.00888109761,148082.023533206,20401.505557383833,7326.242569210408,268285.6854262847,120203.66189307868
149779.37256154415,108649.10494879777,7909.894347552579,32997.27884153994,149556.27813789027,8141.332951333652,370.2880874494405,307847.2717382175,158290.99360032723
131764.43192487617,109305.83774373586,7929.533467364118,32767.710565039084,150003.08177613906,9789.410932864439,1100.4857629272074,292657.4103968069,142654.32862066783
92820.33392621086,114300.00672391738,8524.156211579264,32083.372775819946,154907.5357113166,9107.316947248604,554.4634290760663,257389.6500138521,102482.11430253554
90690.857089851,116709.7919183677,8237.11335634511,32138.75473695297,157085.6600116658,1881.921063679941,0.0,249658.43816519674,92572.77815353093
108576.04285190966,116894.20438616359,8752.13665806451,31710.193294999768,157356.53433922786,649.270569586329,0.0,266581.84776072385,109225.31342149599
100759.08121696001,110322.89665027641,9054.746042873534,31879.889942467347,151257.5326356173,650.3443452875035,0.0,252666.95819786482,101409.42556224752
120961.47882434238,108176.90193784745,9864.239537116413,31227.34317938806,149268.48465435192,1553.8208091038011,0.0,271783.7842877981,122515.2996334462
100980.07826747719,104422.57659378197,10529.749504988575,31504.85887353122,146457.18497230177,1249.767856046125,0.0,248687.03109582505,102229.8461235233
64586.67833952143,107996.14741250093,10636.545500075908,30752.21296938665,149384.9058819635,25335.979140535186,2538.2817771671225,241845.84513918724,92460.93925722374
92300.04146009349,108368.1616263384,10773.160558117665,31590.321507513345,150731.6436919694,0.0,0.0,243031.68515206288,92300.04146009349
108645.83819683448,102923.50995295042,10848.061603908141,32262.107988332133,146033.67954519068,244.15342152038704,0.0,254923.67116354554,108889.99161835486
60633.265258094834,104473.43194198544,10923.442250445485,32514.580538018447,147911.4547304494,46686.42986722274,24251.552162689102,279482.70201845607,131571.24728800668
105285.00380901646,104133.89710660212,11090.618849065764,32307.283140690088,147531.79909635798,0.0,0.0,252816.80290537444,105285.00380901646
43043.66899413149,101779.74723093813,11212.704877708187,34387.941797698426,147380.39390634475,50110.683577532545,12347.936428079805,252882.6829060886,105502.28899974385
141364.28705721608,99174.28621582552,11568.319282368751,35193.49844685015,145936.10394504442,299.7605161034738,0.0,287600.151518364,141664.04757331955
122640.07438586425,99338.40944907123,11291.319964265569,34924.236809625756,145553.96622296254,1680.0,107.73189469817603,269981.77250352496,124427.80628056244
18440.70461995449,97313.17091924296,11329.20102259438,35295.99925486828,143938.37119670562,74669.6301199172,35892.49954025964,272941.20547683694,129002.83428013133
136017.75221815368,94055.30850885547,11043.135413804714,35184.48269391482,140282.926616575,4602.172711772941,667.3422593272718,281570.19380582887,141287.26718925388
100814.40912014213,92467.96306251167,11350.593319777001,36432.24441620002,140250.8007984887,24621.43491870655,12842.660330835502,278529.30516817287,138278.50436968417
67860.50892803712,92077.1464552851,11269.442481945203,36251.92264326596,139598.51158049627,43686.40592304119,22125.835038141337,273271.2614697159,133672.74988921965
154328.09030397626,90611.44799048475,11377.655082999983,36257.837276160855,138246.94034964562,4529.674999593135,1682.313051212555,298787.0187044276,160540.07835478196
190503.61670688444,88359.82409203946,11416.239695997296,35889.021960530175,135665.08574856693,5319.47294500525,6020.562028481866,337508.73742893845,201843.65168037155
