volumen,hidrologia,tiempo,turbinado,energia_turbinada,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,costo_termico,ingreso_exportacion,demanda,demanda_residual,aportes,vertimiento,costo_vertimiento,action,reward
45000.0,2,0,6822.144,258888.0,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,0.0,0.0,262804.7277197107,148253.95570766457,668.4249599999999,0,0,1.0,0.0
38846.28096,1,1,6822.144,258888.0,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,0.0,0.0,259686.40768585046,141415.0551769354,674.83584,0,0,1.0,0.0
32698.972799999996,1,2,6822.144,258888.0,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0.0,0.0,0.0,0.0,284769.89501704235,168589.3946197487,391.91040000000004,0,0,1.0,0.0
26268.739199999996,0,3,6822.144,258888.0,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0.0,0.0,0.0,0.0,322835.61778332083,206981.97176112072,439.75008,0,0,1.0,0.0
19886.345279999998,0,4,6822.144,258888.0,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,0.0,0.0,286307.0950337339,175921.85794907738,429.408,0,0,1.0,0.0
13493.609279999997,0,5,6822.144,258888.0,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,0.0,0.0,271219.28310519754,158175.455581965,454.5072,0,0,1.0,0.0
7125.972479999997,0,6,6822.144,258888.0,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,0.0,0.0,0.0,0.0,321077.5259995257,210637.94406412158,431.22240000000005,0,0,1.0,0.0
735.0508799999966,0,7,735.0508799999966,27893.848652482142,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,84000.0,28813.181793871016,17043954.538161304,0.0,252554.57466723176,140707.03044635316,399.77279999999996,0,0,1.0,-17.043954538161305
399.77279999999996,0,8,399.77279999999996,15170.65319148936,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,84000.0,56703.34147456236,25411002.44236871,0.0,265760.2853988617,155873.99466605173,464.90975999999995,0,0,1.0,-25.41100244236871
464.90975999999995,0,9,464.90975999999995,17642.482765957444,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,84000.0,34922.62436411108,18876787.309233323,0.0,249845.74404958336,136565.10713006853,865.34784,0,0,1.0,-18.876787309233322
