volumen,hidrologia,tiempo,volumen_turbinado,energia_hidro,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,fraccion_turbinado,qt_max_fisico,energia_hidro_max_frac,energia_hidro_obj,aportes,vertimiento,TimeLimit.truncated,action,reward,terminal_observation
45000.0,2,0,3906.7466796734866,148253.95570766457,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,-0.0,0.0,-0.0,262804.7277197107,148253.95570766457,1.0,6822.144,258888.0,148253.95570766457,670.1184,0.0,False,1,-0.0,
41763.37172032651,1,1,3726.5298900876005,141415.0551769354,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,-0.0,0.0,-0.0,259686.40768585046,141415.0551769354,1.0,6822.144,258888.0,141415.0551769354,1036.26432,0.0,False,1,-0.0,
39073.10615023891,2,2,4442.620465099776,168589.3946197487,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0.0,0.0,-0.0,0.0,-0.0,284769.89501704235,168589.3946197487,1.0,6822.144,258888.0,168589.3946197487,1183.83552,0.0,False,1,-0.0,
35814.32120513914,2,3,5454.330895052297,206981.97176112072,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0.0,0.0,-0.0,0.0,-0.0,322835.61778332083,206981.97176112072,1.0,6822.144,258888.0,206981.97176112072,1108.0540799999999,0.0,False,1,-0.0,
31468.04439008684,2,4,4635.843483190223,175921.85794907738,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,-0.0,0.0,-0.0,286307.0950337339,175921.85794907738,1.0,6822.144,258888.0,175921.85794907738,2037.5711999999999,0.0,False,1,-0.0,
28869.772106896617,3,5,4168.195262993144,158175.455581965,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,-0.0,0.0,-0.0,271219.28310519754,158175.455581965,1.0,6822.144,258888.0,158175.455581965,2328.90336,0.0,False,1,-0.0,
27030.480203903473,3,6,5550.672052275048,210637.9440641216,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,0.0,0.0,2.9103830456733704e-11,0.0,0.0,321077.5259995257,210637.94406412158,1.0,6822.144,258888.0,210637.94406412158,1402.7126400000002,0.0,False,1,-0.0,
22882.520791628427,2,7,3707.87222087314,140707.03044635316,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,0.0,0.0,-0.0,0.0,-0.0,252554.57466723176,140707.03044635316,1.0,6822.144,258888.0,140707.03044635316,1968.50304,0.0,False,1,-0.0,
21143.151610755285,3,8,4107.547810122666,155873.99466605173,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,0.0,0.0,-0.0,0.0,-0.0,265760.2853988617,155873.99466605173,1.0,6822.144,258888.0,155873.99466605173,2433.35232,0.0,False,1,-0.0,
19468.956120632618,3,9,3598.7254187786,136565.10713006853,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,0.0,0.0,-0.0,0.0,-0.0,249845.74404958336,136565.10713006853,1.0,6822.144,258888.0,136565.10713006853,5318.42976,0.0,False,1,-0.0,
21188.66046185402,4,10,3463.48682896901,131433.04776007793,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,0.0,0.0,-0.0,0.0,-0.0,245944.61459545797,131433.04776007793,0.7758022546768188,5292.634696929932,200845.8941087723,131433.04776007793,4668.63264,0.0,False,0,-0.0,
22393.80627288501,4,11,3465.90831204826,131524.93865411665,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,0.0,0.0,-0.0,0.0,-0.0,248808.4569794967,131524.93865411665,1.0,6822.144,258888.0,131524.93865411665,5111.40672,0.0,False,1,-0.0,
24039.304680836747,4,12,3594.581735495503,136407.86185969686,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,0.0,0.0,-0.0,0.0,-0.0,256892.32059668744,136407.86185969686,1.0,6822.144,258888.0,136407.86185969686,5595.36768,0.0,False,1,-0.0,
26040.090625341243,4,13,2528.3062725451346,95944.64061249144,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,0.0,0.0,-0.0,0.0,-0.0,232816.40974702346,95944.64061249144,1.0,6822.144,258888.0,95944.64061249144,6272.078399999999,0.0,False,1,-0.0,
29783.862752796107,4,14,0.0,0.0,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,84000.0,21548.616427664354,-0.0,14864584.928299306,-0.0,246622.79107341048,105548.61642766435,0.0,0.0,0.0,0.0,8140.1846399999995,0.0,False,0,-14.864584922790527,
37924.04739279611,4,15,2965.6506206881936,112541.06595942934,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,0.0,0.0,-0.0,0.0,-0.0,249188.23580714918,112541.06595942934,1.0,6822.144,258888.0,112541.06595942934,4243.155839999999,0.0,False,1,-0.0,
39201.55261210791,3,16,3175.0549020879434,120487.57890360325,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,0.0,0.0,-0.0,0.0,-0.0,251752.38877616858,120487.57890360325,1.0,6822.144,258888.0,120487.57890360325,2325.8188800000003,0.0,False,1,-0.0,
38352.31659001997,2,17,3349.1353745165156,127093.61731998499,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,0.0,0.0,-0.0,0.0,-0.0,253509.18879524473,127093.61731998499,1.0,6822.144,258888.0,127093.61731998499,10018.39104,0.0,False,1,-0.0,
45021.57225550345,4,18,3368.9248560034644,127844.59227495416,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,0.0,0.0,-0.0,0.0,-0.0,259512.0194486619,127844.59227495416,1.0,6822.144,258888.0,127844.59227495416,10097.075520000002,0.0,False,1,-0.0,
51749.722919499996,4,19,3452.4150450300585,131012.89362665781,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,0.0,0.0,-0.0,0.0,-0.0,269658.83132354775,131012.89362665781,1.0,6822.144,258888.0,131012.89362665781,9484.05024,0.0,False,1,-0.0,
57781.35811446994,4,20,3774.8919208750017,143250.30659151837,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,0.0,0.0,-0.0,0.0,-0.0,281722.62204277696,143250.30659151837,0.7121849656105042,4858.628390029908,184376.14137697223,143250.30659151837,9313.160055652173,3319.626249247114,False,0,-3.7792139053344727,
60000.0,4,21,3745.2306321449955,142124.7144438396,98814.04396127017,5886.59032116912,34915.35802257658,139615.99230501588,0.0,0.0,-0.0,0.0,-0.0,281740.7067488555,142124.7144438396,1.0,6822.144,258888.0,142124.7144438396,8944.387200000001,5199.1565678550105,False,1,-5.918957233428955,
60000.0,4,22,3625.6241938026906,137585.86688952782,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,0.0,0.0,-0.0,0.0,-0.0,276524.56080986426,137585.86688952782,1.0,6822.144,258888.0,137585.86688952782,8392.8096,4767.185406197306,False,1,-5.427181243896484,
