volumen,hidrologia,tiempo,volumen_turbinado,energia_hidro,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,fraccion_turbinado,qt_max_fisico,energia_hidro_max_frac,energia_hidro_obj,aportes,vertimiento,TimeLimit.truncated,action,reward,terminal_observation
45000.0,2,0,3906.7466796734866,148253.95570766457,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,-0.0,0.0,-0.0,262804.7277197107,148253.95570766457,1.0,6822.144,258888.0,148253.95570766457,638.0035200000001,0.0,False,1,-0.0,
41731.25684032651,1,1,3726.5298900876005,141415.0551769354,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,-0.0,0.0,-0.0,259686.40768585046,141415.0551769354,1.0,6822.144,258888.0,141415.0551769354,694.06848,0.0,False,1,-0.0,
38698.79543023891,1,2,4442.620465099776,168589.3946197487,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0.0,0.0,-0.0,0.0,-0.0,284769.89501704235,168589.3946197487,1.0,6822.144,258888.0,168589.3946197487,693.1008,0.0,False,1,-0.0,
34949.27576513914,1,3,5454.330895052297,206981.97176112072,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0.0,0.0,-0.0,0.0,-0.0,322835.61778332083,206981.97176112072,1.0,6822.144,258888.0,206981.97176112072,696.97152,0.0,False,1,-0.0,
30191.916390086837,1,4,4635.843483190223,175921.85794907738,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,-0.0,0.0,-0.0,286307.0950337339,175921.85794907738,1.0,6822.144,258888.0,175921.85794907738,802.02528,0.0,False,1,-0.0,
26358.098186896616,1,5,4168.195262993144,158175.455581965,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,-0.0,0.0,-0.0,271219.28310519754,158175.455581965,1.0,6822.144,258888.0,158175.455581965,881.55648,0.0,False,1,-0.0,
23071.45940390347,1,6,4934.6164260406495,187259.7496190071,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,23378.194445114466,0.0,-0.0,2337819.4445114466,-0.0,321077.5259995257,210637.94406412158,0.723323404788971,4934.6164260406495,187259.7496190071,187259.7496190071,727.63488,0.0,False,0,-2.3378193378448486,
18864.47785786282,1,7,3707.87222087314,140707.03044635316,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,0.0,0.0,-0.0,0.0,-0.0,252554.57466723176,140707.03044635316,1.0,6822.144,258888.0,140707.03044635316,1055.79936,0.0,False,1,-0.0,
16212.40499698968,2,8,4107.547810122666,155873.99466605173,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,0.0,0.0,-0.0,0.0,-0.0,265760.2853988617,155873.99466605173,1.0,6822.144,258888.0,155873.99466605173,1379.12544,0.0,False,1,-0.0,
13483.982626867015,2,9,3598.7254187786,136565.10713006853,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,0.0,0.0,-0.0,0.0,-0.0,249845.74404958336,136565.10713006853,1.0,6822.144,258888.0,136565.10713006853,1415.3529600000002,0.0,False,1,-0.0,
11300.610168088415,2,10,0.0,0.0,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,84000.0,47433.04776007793,-0.0,22629914.328023378,-0.0,245944.61459545797,131433.04776007793,0.0,0.0,0.0,0.0,806.01696,0.0,False,0,-22.629915237426758,
12106.627128088416,1,11,3465.90831204826,131524.93865411665,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,0.0,0.0,-0.0,0.0,-0.0,248808.4569794967,131524.93865411665,0.5933504104614258,4047.9219426269533,153611.3010635376,131524.93865411665,477.36863999999997,0.0,False,0,-0.0,
9118.087456040157,0,12,3594.581735495503,136407.86185969686,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,0.0,0.0,-0.0,0.0,-0.0,256892.32059668744,136407.86185969686,1.0,6822.144,258888.0,136407.86185969686,467.75232,0.0,False,1,-0.0,
5991.258040544653,0,13,0.0,0.0,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,84000.0,11944.640612491436,-0.0,11983392.183747431,-0.0,232816.40974702346,95944.64061249144,0.0,0.0,0.0,0.0,428.8032,0.0,False,0,-11.983391761779785,
6420.061240544654,0,14,0.0,0.0,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,84000.0,21548.616427664354,-0.0,14864584.928299306,-0.0,246622.79107341048,105548.61642766435,0.0,0.0,0.0,0.0,456.26112,0.0,False,0,-14.864584922790527,
6876.322360544654,0,15,2965.6506206881936,112541.06595942934,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,0.0,0.0,-0.0,0.0,-0.0,249188.23580714918,112541.06595942934,1.0,6822.144,258888.0,112541.06595942934,454.74912,0.0,False,1,-0.0,
4365.42085985646,0,16,3175.0549020879434,120487.57890360325,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,0.0,0.0,-0.0,0.0,-0.0,251752.38877616858,120487.57890360325,1.0,4365.42085985646,165659.80952124717,120487.57890360325,467.99424000000005,0.0,False,1,-0.0,
