volumen,hidrologia,tiempo,volumen_turbinado,energia_hidro,energia_eolica,energia_solar,energia_biomasa,energia_renovable,energia_termico_bajo,energia_termico_alto,energia_exportada,costo_termico,ingreso_exportacion,demanda,demanda_residual,fraccion_turbinado,qt_max_fisico,energia_hidro_max_frac,energia_hidro_obj,aportes,vertimiento,TimeLimit.truncated,action,reward,terminal_observation
45000.0,2,0,3906.7466796734866,148253.95570766457,89498.12267082525,10847.177165782274,14205.472175438588,114550.7720120461,0.0,0.0,-0.0,0.0,-0.0,262804.7277197107,148253.95570766457,1.0,6822.144,258888.0,148253.95570766457,689.04864,0.0,False,1,-0.0,
41782.30196032651,1,1,3726.5298900876005,141415.0551769354,92140.0921373727,11271.621322419545,14859.639049122809,118271.35250891506,0.0,0.0,-0.0,0.0,-0.0,259686.40768585046,141415.0551769354,1.0,6822.144,258888.0,141415.0551769354,679.1904,0.0,False,1,-0.0,
38734.96247023891,1,2,4442.620465099776,168589.3946197487,90659.82803868594,11002.30343492352,14518.368923684202,116180.50039729367,0.0,0.0,-0.0,0.0,-0.0,284769.89501704235,168589.3946197487,1.0,6822.144,258888.0,168589.3946197487,1183.83552,0.0,False,1,-0.0,
35476.17752513914,2,3,5454.330895052297,206981.97176112072,90554.62452678141,10732.967364716964,14566.054130701754,115853.64602220013,0.0,0.0,-0.0,0.0,-0.0,322835.61778332083,206981.97176112072,1.0,6822.144,258888.0,206981.97176112072,1141.98336,0.0,False,1,-0.0,
31163.829990086837,2,4,4635.843483190223,175921.85794907738,85031.2477209428,10716.475757573358,14637.513606140346,110385.2370846565,0.0,0.0,-0.0,0.0,-0.0,286307.0950337339,175921.85794907738,1.0,6822.144,258888.0,175921.85794907738,789.92928,0.0,False,1,-0.0,
27317.915786896614,1,5,4168.195262993144,158175.455581965,87807.04803662449,10608.470938362425,14628.308548245614,113043.82752323252,0.0,0.0,-0.0,0.0,-0.0,271219.28310519754,158175.455581965,1.0,6822.144,258888.0,158175.455581965,1326.9312,0.0,False,1,-0.0,
24476.65172390347,2,6,5550.672052275048,210637.9440641216,84982.77061434375,10693.418996498953,14763.392324561399,110439.5819354041,0.0,0.0,2.9103830456733704e-11,0.0,0.0,321077.5259995257,210637.94406412158,1.0,6822.144,258888.0,210637.94406412158,2199.83904,0.0,False,1,-0.0,
21125.81871162842,3,7,3707.87222087314,140707.03044635316,85986.18983175584,10551.754537368377,15309.599851754381,111847.5442208786,0.0,0.0,-0.0,0.0,-0.0,252554.57466723176,140707.03044635316,1.0,6822.144,258888.0,140707.03044635316,1129.94784,0.0,False,1,-0.0,
18547.89433075528,2,8,4107.547810122666,155873.99466605173,84086.47588357603,10205.677110637433,15594.137738596493,109886.29073280995,0.0,0.0,-0.0,0.0,-0.0,265760.2853988617,155873.99466605173,1.0,6822.144,258888.0,155873.99466605173,832.14432,0.0,False,1,-0.0,
15272.490840632614,1,9,3598.7254187786,136565.10713006853,87138.50521512776,10242.880464036181,15899.251240350874,113280.63691951481,0.0,0.0,-0.0,0.0,-0.0,249845.74404958336,136565.10713006853,1.0,6822.144,258888.0,136565.10713006853,865.34784,0.0,False,1,-0.0,
12539.113261854014,1,10,0.0,0.0,88685.74475373808,9824.855155326186,16000.966926315783,114511.56683538006,84000.0,47433.04776007793,-0.0,22629914.328023378,-0.0,245944.61459545797,131433.04776007793,0.0,0.0,0.0,0.0,831.6,0.0,False,0,-22.629915237426758,
13370.713261854014,1,11,3465.90831204826,131524.93865411665,92209.90206906515,9278.029588771047,15795.58666754386,117283.51832538006,0.0,0.0,-0.0,0.0,-0.0,248808.4569794967,131524.93865411665,0.6764021515846252,4614.512880020142,175112.40021944046,131524.93865411665,835.8336,0.0,False,0,-0.0,
10740.638549805755,1,12,3594.581735495503,136407.86185969686,92859.18840188251,9169.003791343186,18456.2665437649,120484.4587369906,0.0,0.0,-0.0,0.0,-0.0,256892.32059668744,136407.86185969686,1.0,6822.144,258888.0,136407.86185969686,844.7241600000001,0.0,False,1,-0.0,
7990.780974310252,1,13,0.0,0.0,95290.58732603819,8530.480186850396,33050.70162164341,136871.76913453202,84000.0,11944.640612491436,-0.0,11983392.183747431,-0.0,232816.40974702346,95944.64061249144,0.0,0.0,0.0,0.0,420.09408,0.0,False,0,-11.983391761779785,
8410.875054310252,0,14,0.0,0.0,99999.6553362952,7882.442787928107,33192.07652152284,141074.17464574613,84000.0,21548.616427664354,-0.0,14864584.928299306,-0.0,246622.79107341048,105548.61642766435,0.0,0.0,0.0,0.0,456.26112,0.0,False,0,-14.864584922790527,
8867.136174310252,0,15,2965.6506206881936,112541.06595942934,95416.92842546562,8111.724699108436,33118.516723145774,136647.16984771984,0.0,0.0,-0.0,0.0,-0.0,249188.23580714918,112541.06595942934,0.7018536925315857,4788.146957382202,181701.49875211716,112541.06595942934,454.74912,0.0,False,0,-0.0,
6356.234673622059,0,16,3175.0549020879434,120487.57890360325,100470.00745115177,7424.9501238408375,23369.852297572706,131264.80987256533,0.0,0.0,-0.0,0.0,-0.0,251752.38877616858,120487.57890360325,1.0,6356.234673622059,241207.58550166452,120487.57890360325,455.17248000000006,0.0,False,1,-0.0,
3636.3522515341156,0,17,3349.1353745165156,127093.61731998499,98434.05050166651,6757.079140633997,21224.44183295923,126415.57147525974,0.0,0.0,-0.0,0.0,-0.0,253509.18879524473,127093.61731998499,1.0,3636.3522515341156,137992.97723635915,127093.61731998499,1184.5691686956523,0.0,False,1,-0.0,
1471.7860457132522,1,18,1471.7860457132522,55851.612895097554,98975.04493142634,6723.902763309068,25968.47947897232,131667.42717370772,71992.97937985661,0.0,-0.0,7199297.9379856605,-0.0,259512.0194486619,127844.59227495416,1.0,1471.7860457132522,55851.612895097554,55851.612895097554,465.2726400000001,0.0,False,1,-7.199297904968262,
465.2726400000001,0,19,465.2726400000001,17656.253404255323,98037.6221467726,6354.5806597072415,34253.7348904101,138645.93769688995,84000.0,29356.640222402493,-0.0,17206992.066720746,-0.0,269658.83132354775,131012.89362665781,1.0,465.2726400000001,17656.253404255323,17656.253404255323,510.63264000000004,0.0,False,1,-17.20699119567871,
510.63264000000004,0,20,510.63264000000004,19377.583191489364,97409.03202198535,5966.749727093678,35096.533702179564,138472.3154512586,84000.0,39872.723400029005,-0.0,20361817.0200087,-0.0,281722.62204277696,143250.30659151837,0.2613621950149536,510.63264000000004,19377.583191489364,19377.583191489364,1686.84768,0.0,False,0,-20.36181640625,
1686.84768,1,21,1686.84768,64012.81212765958,98814.04396127017,5886.59032116912,34915.35802257658,139615.99230501588,78111.90231618001,0.0,-0.0,7811190.231618001,-0.0,281740.7067488555,142124.7144438396,1.0,1686.84768,64012.81212765958,64012.81212765958,2072.28672,0.0,False,1,-7.811190128326416,
2072.28672,1,22,2072.28672,78639.52510638298,98220.28704362443,5700.530551199278,35017.87632551271,138938.69392033643,58946.341783144846,0.0,-0.0,5894634.178314485,-0.0,276524.56080986426,137585.86688952782,1.0,2072.28672,78639.52510638298,78639.52510638298,5326.896960000001,0.0,False,1,-5.894634246826172,
