//	APORTES	HIDRAULICOS	SEMANALES	1909-2022											
//	SE	GRABA	UN	ARCHIVO	DATOS.TXT	CON:	GUARDAR	COMO	----	TEXTO	CON	FORMATO	(DELIMITADO	POR	TABULACIONES)
//	LAS	CRONICAS	DEBEN	ESTAR	COMPLETAS	SI	SE	QUIERE	USAR	PARA	SERIES	HISTORICAS			
ID_ESTIMACION	2025Ab														
DURACION_PASO	SEMANA														
CANTIDAD_MAX_PASOS_ANUALES	52														
CANTIDAD_DE_CRONICAS	114
CRONICA	PASO	APORTE-CLAIRE
1909	1	6009.9
1909	2	4027.5
1909	3	2635.0
1909	4	1643.3000000000002
1909	5	1209.8
1909	6	1045.4
1909	7	1779.8000000000002
1909	8	2829.0
1909	9	3427.1
1909	10	2401.6
1909	11	1979.4
1909	12	1373.0
1909	13	963.2
1909	14	760.0
1909	15	682.7
1909	16	784.9
1909	17	1288.8
1909	18	1103.8
1909	19	896.9000000000001
1909	20	652.1
1909	21	535.9
1909	22	1754.2
1909	23	3999.8
1909	24	3709.4
1909	25	3399.7000000000003
1909	26	2710.9
1909	27	2966.1
1909	28	8081.099999999999
1909	29	6769.6
1909	30	4062.6
1909	31	4371.1
1909	32	4728.7
1909	33	5418.700000000001
1909	34	3588.7
1909	35	2147.9
1909	36	1435.2
1909	37	1797.0
1909	38	5177.9
1909	39	6037.8
1909	40	6479.9
1909	41	3825.0
1909	42	4663.7
1909	43	5573.0
1909	44	2548.0
1909	45	1647.7
1909	46	1143.9
1909	47	1021.1
1909	48	1335.9
1909	49	1234.3
1909	50	878.5
1909	51	1287.3
1909	52	1146.3
1910	1	918.9
1910	2	1097.2
1910	3	2244.0
1910	4	2620.6
1910	5	2814.3
1910	6	3631.7
1910	7	3107.1
1910	8	1956.4
1910	9	6314.8
1910	10	8861.5
1910	11	5227.0
1910	12	2200.0
1910	13	1364.6999999999998
1910	14	5035.0
1910	15	10709.6
1910	16	12937.9
1910	17	7678.299999999999
1910	18	7404.2
1910	19	5703.900000000001
1910	20	2806.7
1910	21	3704.1
1910	22	3955.7
1910	23	2330.6000000000004
1910	24	3658.2
1910	25	3415.3
1910	26	9294.9
1910	27	9138.5
1910	28	3820.0
1910	29	2297.8
1910	30	2520.4
1910	31	9292.7
1910	32	10219.0
1910	33	6417.4
1910	34	8428.1
1910	35	5846.0
1910	36	5682.6
1910	37	4585.5
1910	38	4858.3
1910	39	6154.299999999999
1910	40	5479.400000000001
1910	41	3073.5
1910	42	1969.7
1910	43	1448.3
1910	44	1352.8000000000002
1910	45	1078.3
1910	46	855.1
1910	47	732.1
1910	48	638.7
1910	49	712.4
1910	50	587.0
1910	51	567.6
1910	52	363.8
1911	1	384.8
1911	2	334.6
1911	3	498.4
1911	4	404.9
1911	5	672.0
1911	6	2154.8
1911	7	3356.7
1911	8	2024.4
1911	9	1319.9
1911	10	936.7
1911	11	605.0
1911	12	499.0
1911	13	970.9
1911	14	765.9
1911	15	2249.8
1911	16	6139.5
1911	17	5974.0
1911	18	6655.1
1911	19	6756.5
1911	20	8133.5
1911	21	14567.9
1911	22	8144.9
1911	23	2553.4
1911	24	1886.1
1911	25	5389.2
1911	26	8175.3
1911	27	6410.6
1911	28	4113.900000000001
1911	29	2339.7
1911	30	3495.0
1911	31	10168.5
1911	32	5598.5
1911	33	3049.7
1911	34	4108.4
1911	35	10959.1
1911	36	17501.6
1911	37	14171.7
1911	38	8469.8
1911	39	9066.7
1911	40	8869.0
1911	41	17248.8
1911	42	17842.2
1911	43	9744.8
1911	44	4053.0
1911	45	3052.7000000000003
1911	46	3344.7000000000003
1911	47	5353.599999999999
1911	48	7005.599999999999
1911	49	11620.9
1911	50	8461.8
1911	51	5366.700000000001
1911	52	6103.2
1912	1	18669.5
1912	2	15523.1
1912	3	8254.7
1912	4	3852.2
1912	5	2321.9
1912	6	1737.8
1912	7	1906.1
1912	8	1745.7
1912	9	4023.4
1912	10	2408.6
1912	11	1243.4
1912	12	941.0
1912	13	1736.8000000000002
1912	14	2315.3
1912	15	3536.9
1912	16	2780.2
1912	17	2345.7
1912	18	7498.999999999999
1912	19	13244.9
1912	20	17637.4
1912	21	17183.2
1912	22	17199.0
1912	23	11229.7
1912	24	7094.700000000001
1912	25	11815.6
1912	26	7893.7
1912	27	5400.5
1912	28	7556.0
1912	29	8608.1
1912	30	7399.9
1912	31	5546.099999999999
1912	32	9161.2
1912	33	17364.399999999998
1912	34	10104.1
1912	35	9319.5
1912	36	5647.400000000001
1912	37	3782.7
1912	38	4771.0
1912	39	6589.8
1912	40	4118.9
1912	41	2484.5
1912	42	1857.0
1912	43	1817.1
1912	44	3076.7000000000003
1912	45	4732.6
1912	46	4320.1
1912	47	3163.8
1912	48	2248.9
1912	49	1391.5
1912	50	2344.8
1912	51	1566.1
1912	52	1942.0
1913	1	1282.4
1913	2	1016.0
1913	3	873.6999999999999
1913	4	737.2
1913	5	1248.0
1913	6	1536.9
1913	7	946.1
1913	8	1618.8
1913	9	3552.7000000000003
1913	10	5032.6
1913	11	6389.9
1913	12	8451.4
1913	13	12363.0
1913	14	9050.3
1913	15	11306.8
1913	16	10399.2
1913	17	9247.4
1913	18	7565.0
1913	19	6521.7
1913	20	4595.0
1913	21	2506.1000000000004
1913	22	2527.2
1913	23	2802.0
1913	24	2863.5
1913	25	3165.7
1913	26	2628.3
1913	27	1684.1
1913	28	2439.1
1913	29	3548.4
1913	30	3967.2
1913	31	7924.6
1913	32	7743.0
1913	33	6070.9
1913	34	3861.3
1913	35	2923.6000000000004
1913	36	3324.2
1913	37	6655.5
1913	38	6766.9
1913	39	4802.0
1913	40	4919.700000000001
1913	41	9669.7
1913	42	12601.5
1913	43	7014.8
1913	44	7798.5
1913	45	6198.5
1913	46	3912.6
1913	47	3751.6
1913	48	2213.7
1913	49	1687.0
1913	50	1287.2
1913	51	1072.5
1913	52	1027.1
1914	1	1057.1
1914	2	1182.2
1914	3	1625.6
1914	4	1077.1
1914	5	1101.5
1914	6	1089.5
1914	7	918.7
1914	8	1275.5
1914	9	1353.5
1914	10	2166.5
1914	11	1933.9
1914	12	7728.8
1914	13	14020.6
1914	14	7596.2
1914	15	6858.5
1914	16	13999.3
1914	17	11484.1
1914	18	9088.4
1914	19	5639.3
1914	20	7299.5
1914	21	6992.4
1914	22	5447.5
1914	23	11160.8
1914	24	10028.7
1914	25	10986.8
1914	26	12781.9
1914	27	12794.9
1914	28	10689.3
1914	29	16071.1
1914	30	17737.1
1914	31	16275.1
1914	32	8929.5
1914	33	7619.0
1914	34	14596.4
1914	35	16335.5
1914	36	18368.5
1914	37	17378.3
1914	38	14567.7
1914	39	9833.0
1914	40	15705.3
1914	41	11959.4
1914	42	11905.1
1914	43	12978.6
1914	44	11474.9
1914	45	9333.3
1914	46	6917.1
1914	47	7580.0
1914	48	14597.2
1914	49	19409.1
1914	50	15728.0
1914	51	11112.6
1914	52	5203.0
1915	1	3370.4
1915	2	2759.6
1915	3	2111.0
1915	4	1832.1
1915	5	3646.5
1915	6	7230.900000000001
1915	7	5533.4
1915	8	4886.3
1915	9	5956.8
1915	10	6032.599999999999
1915	11	5384.5
1915	12	6105.4
1915	13	13271.6
1915	14	15118.1
1915	15	16513.399999999998
1915	16	16301.6
1915	17	17097.8
1915	18	16564.8
1915	19	22638.9
1915	20	17411.4
1915	21	13495.9
1915	22	13645.7
1915	23	13705.4
1915	24	9882.9
1915	25	9571.3
1915	26	10035.6
1915	27	9362.7
1915	28	7044.5
1915	29	4284.7
1915	30	4552.700000000001
1915	31	4473.200000000001
1915	32	3564.7000000000003
1915	33	2833.8
1915	34	4769.099999999999
1915	35	10185.9
1915	36	15213.6
1915	37	18367.6
1915	38	14060.0
1915	39	8682.2
1915	40	6198.9
1915	41	9057.5
1915	42	5766.299999999999
1915	43	3625.8
1915	44	2666.3
1915	45	2115.9
1915	46	1541.0
1915	47	1764.8
1915	48	2187.4
1915	49	1975.0
1915	50	1563.2
1915	51	927.7
1915	52	778.4
1916	1	1487.5
1916	2	1147.6
1916	3	809.4
1916	4	746.6
1916	5	1178.9
1916	6	3191.4
1916	7	2702.0
1916	8	2022.9
1916	9	1251.8
1916	10	1090.6999999999998
1916	11	802.8000000000001
1916	12	821.3000000000001
1916	13	584.4
1916	14	726.1
1916	15	442.4
1916	16	458.2
1916	17	444.9
1916	18	439.1
1916	19	358.79999999999995
1916	20	363.0
1916	21	927.7
1916	22	8188.2
1916	23	12423.0
1916	24	15690.0
1916	25	17779.9
1916	26	8579.4
1916	27	8704.3
1916	28	14483.3
1916	29	10721.5
1916	30	10022.1
1916	31	10937.3
1916	32	10892.6
1916	33	7073.0
1916	34	7403.599999999999
1916	35	5721.700000000001
1916	36	6079.7
1916	37	5804.3
1916	38	4751.2
1916	39	7070.900000000001
1916	40	7258.1
1916	41	8209.7
1916	42	3511.0
1916	43	2004.2
1916	44	1724.4
1916	45	1400.1
1916	46	1072.8
1916	47	878.2
1916	48	879.2
1916	49	1313.8000000000002
1916	50	2096.2
1916	51	1813.5
1916	52	1427.2
1917	1	952.7
1917	2	573.5
1917	3	505.7000000000001
1917	4	727.1
1917	5	1845.2
1917	6	1935.7
1917	7	799.6999999999999
1917	8	669.6
1917	9	834.5
1917	10	1240.9
1917	11	1074.8
1917	12	711.1
1917	13	684.7
1917	14	1053.7
1917	15	754.4
1917	16	652.3
1917	17	573.4000000000001
1917	18	482.9
1917	19	493.0
1917	20	350.40000000000003
1917	21	393.9
1917	22	314.8
1917	23	366.4
1917	24	454.4
1917	25	562.6999999999999
1917	26	551.1999999999999
1917	27	458.2000000000001
1917	28	725.9000000000001
1917	29	777.8000000000001
1917	30	574.8
1917	31	593.6
1917	32	668.3
1917	33	1044.1
1917	34	1183.4
1917	35	759.5
1917	36	1355.3
1917	37	1973.3
1917	38	1914.0
1917	39	1542.9
1917	40	1691.5
1917	41	2025.5
1917	42	1331.5
1917	43	1043.7
1917	44	918.0
1917	45	699.7
1917	46	408.6
1917	47	378.9
1917	48	330.0
1917	49	233.6
1917	50	265.5
1917	51	442.6
1917	52	1511.5
1918	1	1435.5
1918	2	1334.7
1918	3	1249.8
1918	4	823.4000000000001
1918	5	1026.7
1918	6	887.1999999999999
1918	7	1526.0
1918	8	1472.2
1918	9	3249.4
1918	10	2375.1
1918	11	2429.8
1918	12	1964.9
1918	13	3841.6
1918	14	6396.099999999999
1918	15	5769.7
1918	16	3666.8
1918	17	4364.7
1918	18	6765.3
1918	19	4058.9
1918	20	7644.200000000001
1918	21	12142.1
1918	22	11926.8
1918	23	11822.6
1918	24	10160.2
1918	25	10815.7
1918	26	6200.2
1918	27	6123.2
1918	28	6503.0
1918	29	4534.9
1918	30	2831.9
1918	31	2092.3
1918	32	1746.3
1918	33	1680.4
1918	34	1558.1
1918	35	1545.6
1918	36	1174.4
1918	37	3883.5
1918	38	5793.4
1918	39	14433.0
1918	40	17813.2
1918	41	12382.5
1918	42	6254.200000000001
1918	43	5698.9
1918	44	5348.0
1918	45	3495.4
1918	46	10112.9
1918	47	5385.700000000001
1918	48	5295.8
1918	49	2919.7
1918	50	2245.0
1918	51	3008.2000000000003
1918	52	2027.4
1919	1	1293.2
1919	2	954.4
1919	3	1050.3
1919	4	837.9
1919	5	716.5
1919	6	1052.6
1919	7	827.5999999999999
1919	8	1183.3
1919	9	1418.6
1919	10	1878.5
1919	11	2027.2
1919	12	1397.6
1919	13	991.9
1919	14	694.6
1919	15	910.4
1919	16	3675.5
1919	17	6028.4
1919	18	8305.8
1919	19	3603.7
1919	20	2685.0
1919	21	7271.1
1919	22	7766.0
1919	23	10976.6
1919	24	7383.400000000001
1919	25	4397.7
1919	26	9925.7
1919	27	12623.4
1919	28	8203.9
1919	29	11163.1
1919	30	9345.8
1919	31	10545.6
1919	32	7776.8
1919	33	6038.1
1919	34	7041.5
1919	35	7087.700000000001
1919	36	7330.9
1919	37	7710.599999999999
1919	38	13684.1
1919	39	8324.0
1919	40	11595.0
1919	41	11552.1
1919	42	7775.3
1919	43	8647.699999999999
1919	44	10089.8
1919	45	10602.5
1919	46	13007.3
1919	47	20542.8
1919	48	20796.0
1919	49	13187.6
1919	50	5266.2
1919	51	3469.5
1919	52	2766.1000000000004
1920	1	4098.2
1920	2	8635.0
1920	3	4687.700000000001
1920	4	2283.9
1920	5	2267.3
1920	6	2469.5
1920	7	2424.2
1920	8	1761.7
1920	9	1994.8
1920	10	1814.2
1920	11	1348.1
1920	12	2901.7
1920	13	2236.5
1920	14	2579.2
1920	15	1585.0
1920	16	1979.5
1920	17	2056.9
1920	18	1534.5
1920	19	1262.4
1920	20	1400.9
1920	21	1527.8
1920	22	3603.7
1920	23	7569.0
1920	24	6634.4
1920	25	6202.0
1920	26	12663.0
1920	27	15767.4
1920	28	10833.7
1920	29	7329.0
1920	30	12655.2
1920	31	12916.1
1920	32	8755.0
1920	33	5345.8
1920	34	3859.6
1920	35	2459.2
1920	36	1913.2
1920	37	1952.0
1920	38	5219.8
1920	39	10831.8
1920	40	13350.5
1920	41	8754.4
1920	42	9017.7
1920	43	6253.8
1920	44	3215.1000000000004
1920	45	4298.5
1920	46	4522.7
1920	47	3809.0
1920	48	3466.2
1920	49	2967.3
1920	50	2634.0
1920	51	4409.9
1920	52	2448.7
1921	1	1932.7
1921	2	1647.5
1921	3	1770.6
1921	4	1315.7
1921	5	2087.5
1921	6	1907.6
1921	7	2912.0
1921	8	4285.7
1921	9	4100.3
1921	10	2446.0
1921	11	1840.0
1921	12	1719.2
1921	13	3750.0
1921	14	8947.699999999999
1921	15	10167.6
1921	16	5342.3
1921	17	2017.5
1921	18	1767.9
1921	19	1853.4
1921	20	3826.9
1921	21	3539.1
1921	22	1965.8
1921	23	2687.6
1921	24	2553.9
1921	25	2303.7
1921	26	5171.5
1921	27	8738.8
1921	28	10028.8
1921	29	5643.0
1921	30	3674.1
1921	31	3182.5
1921	32	2884.3
1921	33	7286.3
1921	34	5212.4
1921	35	4559.6
1921	36	6462.5
1921	37	3688.4
1921	38	3398.1
1921	39	9204.5
1921	40	17220.2
1921	41	15324.0
1921	42	6951.6
1921	43	3621.8
1921	44	3299.4
1921	45	2500.4
1921	46	1671.5
1921	47	1284.4
1921	48	1120.4
1921	49	978.3
1921	50	769.7
1921	51	685.8
1921	52	1436.7
1922	1	1445.0
1922	2	1158.2
1922	3	1733.8000000000002
1922	4	1350.3
1922	5	1326.1
1922	6	5238.8
1922	7	3579.6
1922	8	1503.6
1922	9	938.0
1922	10	1003.3
1922	11	1649.9
1922	12	3055.8
1922	13	8155.7
1922	14	10370.5
1922	15	7874.2
1922	16	3406.6
1922	17	7676.1
1922	18	10189.6
1922	19	10703.9
1922	20	13107.9
1922	21	8240.8
1922	22	9960.8
1922	23	7275.1
1922	24	7138.200000000001
1922	25	12654.8
1922	26	15817.9
1922	27	18094.0
1922	28	12581.8
1922	29	5798.0
1922	30	7092.200000000001
1922	31	5727.7
1922	32	10603.8
1922	33	12446.0
1922	34	15020.3
1922	35	15926.2
1922	36	11008.0
1922	37	9336.5
1922	38	12005.2
1922	39	7344.400000000001
1922	40	6655.6
1922	41	5552.3
1922	42	5231.5
1922	43	2518.3
1922	44	1651.5
1922	45	1980.9
1922	46	1661.2
1922	47	1309.4
1922	48	1023.9
1922	49	984.8
1922	50	787.6999999999999
1922	51	1303.5
1922	52	1767.8
1923	1	939.9
1923	2	894.5
1923	3	1056.2
1923	4	2239.1000000000004
1923	5	2344.0
1923	6	2074.0
1923	7	1519.0
1923	8	918.9
1923	9	847.0
1923	10	764.1
1923	11	844.0
1923	12	702.6999999999999
1923	13	773.4
1923	14	502.4
1923	15	1120.9
1923	16	8505.6
1923	17	9923.1
1923	18	6809.7
1923	19	5018.9
1923	20	5458.900000000001
1923	21	9460.7
1923	22	9784.0
1923	23	7289.0
1923	24	13460.8
1923	25	19828.4
1923	26	20341.4
1923	27	9139.4
1923	28	7626.0
1923	29	7131.700000000001
1923	30	5968.0
1923	31	5407.5
1923	32	7208.9
1923	33	6931.6
1923	34	11009.9
1923	35	11445.5
1923	36	9739.3
1923	37	7332.4
1923	38	7281.0
1923	39	6977.4
1923	40	6456.5
1923	41	6338.0
1923	42	5176.6
1923	43	5162.099999999999
1923	44	8634.800000000001
1923	45	6067.7
1923	46	6611.4
1923	47	5276.6
1923	48	8719.800000000001
1923	49	7009.5
1923	50	9831.7
1923	51	11308.0
1923	52	9384.0
1924	1	6162.099999999999
1924	2	2869.8
1924	3	1592.8
1924	4	1039.7
1924	5	720.5999999999999
1924	6	647.6
1924	7	794.1999999999999
1924	8	1128.1
1924	9	812.2
1924	10	569.3000000000001
1924	11	522.5
1924	12	1925.3
1924	13	4374.900000000001
1924	14	5179.599999999999
1924	15	5310.3
1924	16	3406.5
1924	17	1765.7
1924	18	1019.0
1924	19	675.7
1924	20	581.8000000000001
1924	21	5776.9
1924	22	5786.2
1924	23	7242.0
1924	24	6223.6
1924	25	6037.200000000001
1924	26	8889.6
1924	27	7992.0
1924	28	5095.6
1924	29	3663.2
1924	30	2819.6
1924	31	3197.0
1924	32	5583.1
1924	33	6919.4
1924	34	4812.1
1924	35	2770.6
1924	36	2513.9
1924	37	7602.200000000001
1924	38	6606.4
1924	39	4501.700000000001
1924	40	3656.6
1924	41	2263.9
1924	42	1322.4
1924	43	969.9
1924	44	823.2
1924	45	835.8
1924	46	1004.7
1924	47	753.7
1924	48	797.0
1924	49	739.9
1924	50	705.4000000000001
1924	51	479.2
1924	52	541.5
1925	1	559.1
1925	2	839.3000000000001
1925	3	2927.5
1925	4	1738.5
1925	5	1747.2
1925	6	1772.6
1925	7	2278.8
1925	8	1701.4
1925	9	1747.7
1925	10	899.5999999999999
1925	11	790.6
1925	12	884.5
1925	13	907.0
1925	14	1267.7
1925	15	3748.9
1925	16	8484.7
1925	17	7311.900000000001
1925	18	6532.0
1925	19	16815.8
1925	20	15681.3
1925	21	20118.0
1925	22	18436.3
1925	23	11671.9
1925	24	3537.0
1925	25	2152.2
1925	26	4157.7
1925	27	2582.0
1925	28	2254.4
1925	29	1988.5
1925	30	2271.9
1925	31	1814.3
1925	32	1354.0
1925	33	1650.1
1925	34	5643.700000000001
1925	35	4495.9
1925	36	4647.2
1925	37	5454.5
1925	38	7345.7
1925	39	13135.0
1925	40	14513.0
1925	41	10055.1
1925	42	4420.7
1925	43	5384.099999999999
1925	44	5267.8
1925	45	2517.9
1925	46	1789.0
1925	47	2342.1
1925	48	4126.5
1925	49	3404.6
1925	50	3797.2
1925	51	6128.0
1925	52	3471.5
1926	1	2738.1000000000004
1926	2	1703.8
1926	3	2016.6
1926	4	4905.400000000001
1926	5	3959.2
1926	6	1914.8
1926	7	1303.3
1926	8	909.8
1926	9	913.5
1926	10	822.0
1926	11	866.8
1926	12	789.3
1926	13	535.2
1926	14	461.5
1926	15	728.6
1926	16	881.3000000000001
1926	17	1025.9
1926	18	763.8
1926	19	706.5
1926	20	1343.9
1926	21	5496.5
1926	22	6378.2
1926	23	9090.6
1926	24	7778.299999999999
1926	25	7079.099999999999
1926	26	4340.200000000001
1926	27	7716.7
1926	28	7263.3
1926	29	10991.0
1926	30	11568.1
1926	31	11688.4
1926	32	8109.200000000001
1926	33	7997.299999999999
1926	34	3943.0
1926	35	3814.8
1926	36	2773.6
1926	37	5663.900000000001
1926	38	6189.799999999999
1926	39	12547.9
1926	40	17206.6
1926	41	16587.6
1926	42	9583.0
1926	43	4267.3
1926	44	2096.3
1926	45	1825.1
1926	46	1623.7
1926	47	2227.0
1926	48	5042.5
1926	49	5325.099999999999
1926	50	4051.4
1926	51	2844.3
1926	52	1875.0
1927	1	1441.3
1927	2	953.9
1927	3	648.0
1927	4	672.4000000000001
1927	5	1593.9
1927	6	1719.4
1927	7	1110.1
1927	8	699.1
1927	9	680.1
1927	10	668.4
1927	11	1218.9
1927	12	1736.1
1927	13	1413.1
1927	14	1024.4
1927	15	1745.8
1927	16	1774.9
1927	17	944.7
1927	18	861.5
1927	19	769.3000000000001
1927	20	1115.5
1927	21	1009.0
1927	22	895.1
1927	23	1388.4
1927	24	7719.7
1927	25	7320.3
1927	26	4369.4
1927	27	4241.2
1927	28	4182.0
1927	29	2015.6
1927	30	1317.8
1927	31	1669.7
1927	32	1911.7
1927	33	1495.9
1927	34	1149.1
1927	35	980.1
1927	36	1514.8
1927	37	2435.0
1927	38	4196.5
1927	39	9730.1
1927	40	8821.5
1927	41	6528.2
1927	42	5624.700000000001
1927	43	5407.9
1927	44	8353.2
1927	45	8151.0
1927	46	15460.5
1927	47	17368.2
1927	48	5863.0
1927	49	2442.5
1927	50	1577.5
1927	51	1271.6999999999998
1927	52	817.0
1928	1	762.3
1928	2	608.8000000000001
1928	3	465.3
1928	4	1570.9
1928	5	5189.8
1928	6	2658.4
1928	7	1147.6
1928	8	1050.3
1928	9	3220.5
1928	10	4407.0
1928	11	2157.5
1928	12	1556.2
1928	13	3648.4
1928	14	3643.9
1928	15	5347.099999999999
1928	16	5092.9
1928	17	14082.5
1928	18	11100.1
1928	19	6576.7
1928	20	8691.699999999999
1928	21	8001.099999999999
1928	22	11110.0
1928	23	13742.5
1928	24	15594.0
1928	25	13604.1
1928	26	16238.0
1928	27	16153.5
1928	28	13079.8
1928	29	10276.5
1928	30	9666.3
1928	31	5402.2
1928	32	4761.5
1928	33	6499.2
1928	34	12547.6
1928	35	10423.8
1928	36	8694.0
1928	37	15489.1
1928	38	20161.6
1928	39	22520.6
1928	40	17301.6
1928	41	14004.5
1928	42	12412.5
1928	43	13695.5
1928	44	16833.7
1928	45	10030.3
1928	46	5626.5
1928	47	2949.6
1928	48	1858.4
1928	49	1570.7
1928	50	1457.9
1928	51	1075.1
1928	52	1204.6
1929	1	2964.1
1929	2	4129.9
1929	3	2881.3
1929	4	1641.3
1929	5	3532.7000000000003
1929	6	2280.7
1929	7	1164.7
1929	8	844.0999999999999
1929	9	2739.9
1929	10	5368.900000000001
1929	11	5268.4
1929	12	2410.9
1929	13	1594.9
1929	14	1045.5
1929	15	776.3
1929	16	656.6
1929	17	598.8000000000001
1929	18	491.0
1929	19	897.6999999999999
1929	20	1580.1
1929	21	1473.3
1929	22	1174.6
1929	23	1262.4
1929	24	5996.7
1929	25	4343.099999999999
1929	26	4991.299999999999
1929	27	6295.4
1929	28	5698.299999999999
1929	29	5443.9
1929	30	7202.5
1929	31	5022.700000000001
1929	32	3560.9
1929	33	3633.4
1929	34	9905.9
1929	35	10167.1
1929	36	8458.9
1929	37	8158.0
1929	38	9783.9
1929	39	18881.8
1929	40	19709.5
1929	41	20410.0
1929	42	27115.8
1929	43	24881.2
1929	44	16839.9
1929	45	8062.0
1929	46	3332.3
1929	47	1626.0
1929	48	1599.9
1929	49	1290.2
1929	50	1425.9
1929	51	1308.1
1929	52	1954.0
1930	1	3905.9
1930	2	5610.2
1930	3	4094.7
1930	4	2974.8
1930	5	1630.8
1930	6	1457.6
1930	7	3010.7
1930	8	2762.5
1930	9	1567.2
1930	10	1799.3
1930	11	3487.8
1930	12	3330.8
1930	13	3574.0
1930	14	2034.6
1930	15	1290.3
1930	16	950.9
1930	17	1909.9
1930	18	9810.8
1930	19	18526.7
1930	20	13088.7
1930	21	7651.6
1930	22	6991.299999999999
1930	23	7794.400000000001
1930	24	7121.2
1930	25	6834.1
1930	26	7124.9
1930	27	6189.1
1930	28	5349.1
1930	29	3436.1000000000004
1930	30	2651.9
1930	31	2373.1
1930	32	2732.8
1930	33	6941.4
1930	34	8122.1
1930	35	11629.7
1930	36	17504.3
1930	37	11136.5
1930	38	5820.6
1930	39	4072.7
1930	40	3949.1
1930	41	3162.8
1930	42	4299.599999999999
1930	43	5596.3
1930	44	6521.2
1930	45	3354.0
1930	46	3074.4
1930	47	3849.6
1930	48	3905.3
1930	49	3348.3
1930	50	3235.0
1930	51	2712.7
1930	52	1925.8
1931	1	2320.9
1931	2	3105.1000000000004
1931	3	3762.7
1931	4	2826.6000000000004
1931	5	2488.1000000000004
1931	6	1353.9
1931	7	716.5
1931	8	507.0
1931	9	484.0
1931	10	635.2
1931	11	522.0
1931	12	811.7
1931	13	785.9000000000001
1931	14	632.3000000000001
1931	15	648.0
1931	16	631.4000000000001
1931	17	911.8
1931	18	4611.5
1931	19	7333.0
1931	20	3723.8
1931	21	7699.7
1931	22	8622.5
1931	23	7211.2
1931	24	9813.6
1931	25	8892.599999999999
1931	26	8635.1
1931	27	7379.3
1931	28	9615.7
1931	29	6598.599999999999
1931	30	9088.8
1931	31	7559.6
1931	32	4649.7
1931	33	3913.5
1931	34	5209.4
1931	35	6045.200000000001
1931	36	4388.5
1931	37	5265.1
1931	38	10144.1
1931	39	6400.2
1931	40	3572.1
1931	41	3587.0
1931	42	2817.0
1931	43	1596.5
1931	44	1618.5
1931	45	1951.1
1931	46	3454.3
1931	47	3044.5
1931	48	2131.1
1931	49	1478.0
1931	50	910.0
1931	51	910.3
1931	52	732.2
1932	1	1108.0
1932	2	1656.7
1932	3	935.0
1932	4	673.6999999999999
1932	5	728.1
1932	6	1415.9
1932	7	2776.5
1932	8	1745.9
1932	9	1375.9
1932	10	3759.3
1932	11	4615.0
1932	12	2552.2
1932	13	2170.4
1932	14	2837.1
1932	15	11073.2
1932	16	20144.0
1932	17	19882.4
1932	18	19977.2
1932	19	12349.4
1932	20	8584.6
1932	21	9949.0
1932	22	15373.3
1932	23	16417.9
1932	24	9316.3
1932	25	8608.9
1932	26	9110.1
1932	27	11539.1
1932	28	13656.2
1932	29	9660.5
1932	30	6646.200000000001
1932	31	6905.4
1932	32	12877.9
1932	33	11380.1
1932	34	7270.3
1932	35	5258.7
1932	36	4192.8
1932	37	5381.7
1932	38	11471.3
1932	39	9986.5
1932	40	10360.7
1932	41	14790.2
1932	42	9697.8
1932	43	7874.900000000001
1932	44	8500.6
1932	45	4252.5
1932	46	2889.5
1932	47	2698.3
1932	48	2561.8
1932	49	2378.0
1932	50	1950.8
1932	51	1966.8
1932	52	2487.9
1933	1	2461.0
1933	2	1377.0
1933	3	885.5
1933	4	808.5
1933	5	763.2
1933	6	1541.1
1933	7	1258.5
1933	8	746.0
1933	9	1336.7
1933	10	2226.8
1933	11	2886.1
1933	12	1770.9
1933	13	947.3
1933	14	593.4
1933	15	544.7
1933	16	936.8
1933	17	1008.5
1933	18	581.9000000000001
1933	19	566.3000000000001
1933	20	653.3
1933	21	732.8
1933	22	961.9
1933	23	1304.6
1933	24	1353.0
1933	25	1694.1999999999998
1933	26	2138.1
1933	27	1877.6
1933	28	2299.5
1933	29	1407.6
1933	30	1758.9
1933	31	3112.0
1933	32	2513.1
1933	33	1590.6
1933	34	1767.6999999999998
1933	35	2314.9
1933	36	3443.6
1933	37	2617.2000000000003
1933	38	2785.3
1933	39	6868.099999999999
1933	40	6705.799999999999
1933	41	9888.6
1933	42	9819.7
1933	43	4152.2
1933	44	4542.3
1933	45	9642.7
1933	46	4357.099999999999
1933	47	1876.2
1933	48	1363.1
1933	49	1024.3
1933	50	921.2
1933	51	725.5
1933	52	541.8
1934	1	520.1
1934	2	1289.9
1934	3	1259.9
1934	4	1159.8000000000002
1934	5	1587.7
1934	6	3280.1
1934	7	3522.0
1934	8	3722.4
1934	9	5009.599999999999
1934	10	2934.1
1934	11	6337.2
1934	12	5064.5
1934	13	4092.1
1934	14	4372.4
1934	15	5195.6
1934	16	2827.8
1934	17	3223.5
1934	18	5673.2
1934	19	7976.9
1934	20	3830.4
1934	21	2855.3
1934	22	2779.0
1934	23	5473.4
1934	24	8095.099999999999
1934	25	8548.6
1934	26	8589.6
1934	27	5747.299999999999
1934	28	4370.2
1934	29	3063.6000000000004
1934	30	3154.6
1934	31	3179.8
1934	32	6487.8
1934	33	4758.9
1934	34	3752.4
1934	35	2514.4
1934	36	2543.7
